,title_id,genre
1,81004223,Independent Movies
2,81004223,Thrillers
0,80198730,Dramas
1,80198730,Thrillers
0,80999945,Documentaries
1,80999945,International Movies
2,80999945,Sports Movies
0,81016043,Horror Movies
1,81016043,International Movies
2,81016043,Thrillers
0,17672040,Action & Adventure
0,81004162,International TV Shows
1,81004162,TV Dramas
0,81011096,Children & Family Movies
0,80188969,International TV Shows
1,80188969,TV Comedies
2,80188969,TV Dramas
0,80189155,International TV Shows
1,80189155,TV Dramas
2,80189155,TV Horror
0,20254278,Action & Adventure
1,20254278,International Movies
0,80203742,Documentaries
1,80203742,International Movies
0,80189208,International TV Shows
1,80189208,TV Dramas
2,80189208,TV Horror
0,70276596,Action & Adventure
1,70276596,Anime Features
2,70276596,International Movies
0,80063025,Action & Adventure
1,80063025,Anime Features
2,80063025,International Movies
0,70068739,Dramas
1,70068739,Independent Movies
0,80158389,Comedies
1,80158389,International Movies
2,80158389,Romantic Movies
0,80184974,Documentaries
1,80184974,International Movies
2,80184974,Sports Movies
0,80156941,Dramas
1,80156941,International Movies
2,80156941,Music & Musicals
0,80178543,International TV Shows
1,80178543,TV Dramas
0,70213196,Anime Series
1,70213196,International TV Shows
0,70208520,Docuseries
1,70208520,Reality TV
0,80061314,Documentaries
0,70052492,Action & Adventure
1,70052492,Anime Features
2,70052492,International Movies
0,70036200,Action & Adventure
1,70036200,Anime Features
2,70036200,International Movies
0,70018513,Action & Adventure
1,70018513,Anime Features
2,70018513,International Movies
0,80158480,Action & Adventure
1,80158480,International Movies
0,80105933,Kids' TV
0,80139506,Comedies
1,80139506,Horror Movies
0,80205314,Dramas
1,80205314,International Movies
2,80205314,Sports Movies
0,80133200,International TV Shows
1,80133200,TV Comedies
2,80133200,TV Dramas
0,80158545,Comedies
1,80158545,International Movies
2,80158545,Music & Musicals
0,80156939,Action & Adventure
1,80156939,Dramas
2,80156939,International Movies
0,80152537,Action & Adventure
1,80152537,Anime Features
2,80152537,International Movies
0,80045673,Action & Adventure
1,80045673,Anime Features
2,80045673,International Movies
0,70275937,Action & Adventure
1,70275937,Anime Features
2,70275937,International Movies
0,70101321,Action & Adventure
1,70101321,Anime Features
2,70101321,International Movies
0,70108386,Action & Adventure
1,70108386,Anime Features
2,70108386,International Movies
0,70074559,Action & Adventure
1,70074559,Anime Features
2,70074559,International Movies
0,80162197,Action & Adventure
1,80162197,Comedies
2,80162197,International Movies
0,80184055,Documentaries
1,80184055,Sports Movies
0,80160358,Documentaries
1,80160358,International Movies
0,60034929,Classic Movies
1,60034929,Comedies
2,60034929,Independent Movies
0,80157134,Dramas
1,80157134,International Movies
2,80157134,Romantic Movies
0,80141891,Comedies
1,80141891,Dramas
2,80141891,International Movies
0,80183897,Thrillers
0,80177834,Children & Family Movies
1,80177834,Comedies
0,80121855,Documentaries
1,80121855,International Movies
0,80168028,Dramas
1,80168028,International Movies
0,80200913,Kids' TV
0,80190990,Documentaries
1,80190990,International Movies
0,80173269,Documentaries
1,80173269,LGBTQ Movies
2,80173269,Music & Musicals
0,80106140,Dramas
