,title_id,director
0,80201825,Ananth Narayan Mahadevan
0,80202376,Ah Loong
0,80028360,Girish Malik
0,80203783,Debaloy Dey
0,80142617,Martin Rosete
0,80201823,Jasmine D'Souza
0,80190841,Ben C. Lucas
0,80115858,Rohit Jugraj
0,80158547,Shakti Samanta
0,80206827,Raj B. Shetty
0,80202090,Navneet Behal
0,80203790,Sukhbir Singh
0,80158391,Naresh Saigal
0,80201822,Ram Gopal Varma
0,80211540,Dhruv Dhawan
0,80123743,Thomas Sorriaux
0,70258995,Toshiyuki Kubooka
0,70208801,Noriyuki Abe
0,70260383,Noriyuki Abe
0,80123744,Clovis Cornillac
0,70105699,Hajime Kamegaki
0,70124999,Hajime Kamegaki
0,80990869,Jean-François Blais
0,80187205,Derek Hui
0,80097472,Kevin MacDonald
0,80075009,Stefano Sollima
0,70280748,Dave Higby
0,81034012,Leïla Sy
1,81034012,Kery James
0,81019031,Shaad Ali
0,80148070,Mahmoud al Massad
0,80155812,Yesim Ustaoglu
0,80183198,Jan Suter
0,80158844,Lucy Cohen
0,80164456,McG
0,80174434,Noah Baumbach
0,80075476,Christopher Guest
0,80158148,Gareth Evans
0,80239565,Paul Urkijo Alijo
0,80216844,Johanna Demetrakas
0,80187722,Padraic McKinley
0,81021082,Rizal Mantovani
0,80191047,Kief Davidson
0,80240972,Sara Colangelo
0,80103282,Mahmoud Sabbagh
0,80134526,Borja Cobeaga
0,80127559,Jonathan Demme
0,80005501,Leo Riley
0,81132441,Hakan Algül
0,81078819,Vince Gilligan
0,80223997,Brad Anderson
0,81191666,Bolanle Austen-Peters
0,81133621,Sion Sono
0,81038598,Dennis Rovira van Boekholt
0,81016322,Angga Dwimas Sasongko
0,80147323,Mohamed Diab
0,81171871,Naoto Amazutsumi
0,80210932,Paul Greengrass
0,81015317,Rusty Cundieff
1,81015317,Darin Scott
0,80205204,Jay Karas
0,70235731,Alastair Fothergill
0,80003481,James Yukich
0,81168338,Maciej Dejczer
0,81103033,Rusty Nixon
0,60002273,Lee Tamahori
0,70297962,Richard Rich
