,title_id,title,date_added,release_year,rating,duration,description
85,80019931,"Monster High: Boo York, Boo York",09/29/2015,2015,TV-Y7,72,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.
86,81053893,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,09/28/2019,2019,TV-G,45,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.
87,80200087,Domino,09/28/2019,2019,R,89,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
88,81053892,TUNA GIRL,09/28/2019,2019,TV-PG,90,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
89,81002850,5CM,09/28/2018,2012,TV-14,126,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship."
90,81004470,Animal World,09/28/2018,2018,TV-MA,130,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
91,80157072,Hold the Dark,09/28/2018,2018,TV-MA,126,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery."
92,81001809,Lessons from a School Shooting: Notes from Dunblane,09/28/2018,2018,TV-PG,24,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
94,81002864,Single,09/28/2018,2015,TV-PG,127,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother."
95,81016750,The 3rd Eye,09/28/2018,2018,TV-MA,108,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
96,81002866,The Sinking Of Van Der Wijck,09/28/2018,2013,TV-14,163,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
97,80992039,Two Catalonias,09/28/2018,2018,TV-MA,117,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
98,80126507,Bobby Sands: 66 Days,09/28/2017,2016,TV-14,106,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
100,81132443,Deliha 2,09/27/2019,2018,TV-PG,102,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways."
102,80231903,In the Shadow of the Moon,09/27/2019,2019,TV-MA,116,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.
104,81171121,Sturgill Simpson Presents Sound & Fury,09/27/2019,2019,TV-MA,42,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents."
106,81012295,Weeds on Fire,09/27/2018,2016,TV-14,95,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league."
107,80060037,Much Loved,09/27/2017,2015,TV-MA,104,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.
108,60003155,Joseph: King of Dreams,09/27/2011,2000,TV-PG,75,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story."
109,81177238,Malaal,09/26/2019,2019,TV-14,133,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl."
110,70270775,The Grandmaster,09/26/2019,2013,PG-13,108,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village."
112,80215923,The Hurricane Heist,09/26/2018,2018,PG-13,103,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.
113,80151483,Def Comedy Jam 25,09/26/2017,2017,TV-MA,82,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
114,80173625,Restless Creature: Wendy Whelan,09/26/2017,2016,TV-MA,94,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life."
115,80005444,Print the Legend,09/26/2014,2014,TV-14,100,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution."
116,80244682,Birders,09/25/2019,2019,TV-G,38,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.
117,81075519,Furie,09/25/2019,2019,TV-MA,97,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors."
118,80166318,Leap!,09/25/2019,2016,PG,89,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights."
119,81186758,Oh! Baby (Malayalam),09/25/2019,2019,TV-14,146,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
120,81186757,Oh! Baby (Tamil),09/25/2019,2019,TV-14,146,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.
121,80108976,USS Indianapolis: Men of Courage,09/25/2019,2016,R,130,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks."
122,80208155,A Wrinkle in Time,09/25/2018,2018,PG,110,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness."
123,80198423,Teach Us All,09/25/2017,2017,TV-14,81,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that."
124,80162144,White Island,09/25/2017,2016,TV-MA,91,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left."
125,81053953,Inside Man: Most Wanted,09/24/2019,2019,R,106,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.
126,81074113,Jeff Dunham: Beside Himself,09/24/2019,2019,TV-MA,58,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture."
127,80992496,China Salesman,09/24/2018,2017,TV-MA,111,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.
128,70304191,Swearnet: The Movie,09/24/2017,2014,NR,112,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences."
129,80103311,The Bar,09/24/2017,2017,TV-MA,102,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.
